-136.23,58.73,-8.29,3.05
-131.77,56.59,-0.62,1.22
-132.65,56.55,2.38,-1.14
-134.93,58.12,2.17,-2.00
-136.56,58.70,1.11,0.84
-138.55,59.00,2.86,-1.45
-143.26,60.05,6.56,-0.63
-148.22,59.93,3.36,0.86
-149.54,60.16,-0.72,-1.31
-151.36,60.06,4.35,1.49
-155.03,58.22,2.99,2.21
-159.43,56.09,5.82,2.05
-160.09,56.59,-4.49,-3.06
-159.95,58.24,4.21,-0.24
-163.32,59.21,2.52,-1.70
-164.94,61.31,0.71,-2.51
-163.20,63.53,-4.17,-1.92
-164.68,64.99,7.11,-1.00
-165.61,65.73,-5.24,-0.48
-162.28,66.26,-1.43,-0.58
-164.10,67.40,5.08,-1.70
-163.08,69.31,-7.11,-2.13
-156.95,70.67,-5.16,-0.58
-151.23,70.61,-6.28,0.70
-145.29,70.05,-5.60,0.43
-141.85,69.69,-1.28,0.27
-152.61,58.41,-0.02,0.01
-152.85,57.64,-0.90,0.32
-152.86,57.63,0.92,-0.31
-166.99,53.95,0.05,0.01
-168.28,53.43,-0.17,0.14
-170.66,52.61,-0.13,0.13
-174.47,51.93,0.00,0.02
-176.61,51.72,0.06,-0.02
-177.48,51.70,-0.14,0.13
177.34,51.78,0.02,0.04
172.50,53.02,-0.11,-0.03
-137.30,59.55,-7.83,1.23
-132.13,56.88,-2.50,4.10
-129.87,54.36,-2.02,0.93
-127.72,53.01,-2.28,1.78
-126.83,51.46,0.50,1.32
-125.75,50.23,-2.66,1.14
-123.49,49.28,-1.86,0.75
-90.22,48.58,-4.19,-0.68
-85.62,47.59,-5.02,2.65
-82.38,45.52,-1.45,1.51
-81.88,43.52,0.43,2.47
-79.59,43.14,-4.99,-1.71
-73.53,45.46,-7.15,-2.92
-67.94,46.12,-4.03,1.60
-66.15,44.78,0.45,1.07
-63.80,44.84,-5.15,-1.18
-63.08,46.39,3.72,-1.91
-64.53,47.93,-0.82,-1.18
-67.40,47.77,6.56,1.50
-68.96,48.17,-3.44,-2.31
-63.53,49.91,-7.42,-1.15
-57.98,51.47,-3.68,-1.98
-57.61,53.02,2.93,-1.12
-58.66,53.89,-0.81,-0.63
-59.47,54.77,2.43,-1.12
-61.33,56.37,1.28,-2.08
-63.16,58.45,2.38,-2.08
-65.82,58.82,2.94,1.34
-68.59,59.03,2.60,-1.76
-70.60,60.68,1.42,-1.54
-74.77,61.71,6.91,-0.52
-77.75,60.75,-0.94,2.44
-77.19,57.70,-0.19,3.65
-78.08,53.78,1.97,4.20
-80.65,52.19,3.17,-1.02
-84.49,54.21,4.52,-3.02
-89.46,56.29,5.42,-1.14
-93.89,57.84,3.44,-1.96
-94.13,60.42,-2.95,-3.20
-91.66,62.63,-2.01,-1.22
-93.31,63.68,5.31,-0.88
-92.92,64.05,-6.08,0.14
-89.59,64.60,-0.58,-1.24
-88.08,65.67,-2.44,-0.90
-85.70,66.50,-2.32,-0.76
-83.42,67.32,-2.24,-0.88
-82.70,68.72,0.80,-1.92
-84.57,68.83,2.95,1.70
-87.12,68.09,2.13,-0.22
-89.59,68.51,2.82,-0.62
-91.36,69.25,0.72,-0.87
-92.44,70.39,1.43,-1.40
-94.87,71.07,3.43,0.04
-94.97,70.28,-3.23,1.53
-93.79,68.88,0.88,1.27
-95.09,67.49,1.73,1.52
-97.39,67.50,2.87,-1.54
-100.64,67.98,3.62,0.58
-105.40,68.06,5.89,-0.74
-107.09,68.24,-2.51,0.38
-106.99,67.32,2.32,1.45
-109.65,67.11,3.00,-1.03
-112.62,67.93,2.95,-0.60
-117.51,68.84,6.82,-1.21
-122.62,69.35,3.40,0.18
-126.54,69.88,4.44,-1.24
-130.31,69.84,3.10,1.31
-131.50,69.49,-0.71,-0.60
-133.48,69.46,4.66,0.66
-138.00,69.25,4.38,-0.24
-140.69,69.47,1.01,-0.21
-125.70,49.59,4.60,-2.51
-125.75,49.59,-4.50,2.50
-132.47,52.89,-0.05,-0.03
-132.31,53.37,-0.67,-0.69
-132.30,53.37,0.66,0.69
-55.01,50.54,-0.70,2.04
-54.16,48.50,-1.01,2.04
-53.31,46.89,-0.67,1.17
-54.55,46.58,3.14,-0.53
-57.30,47.20,2.35,-0.73
-58.04,48.98,-0.86,-2.81
-56.50,50.95,-2.22,-1.15
-61.58,49.15,0.43,-0.28
-61.59,49.16,-0.42,0.26
-63.72,46.66,1.41,0.10
-63.73,46.64,-1.38,-0.07
-60.14,46.49,0.00,-0.02
-123.43,48.05,1.98,1.74
-124.47,44.83,0.10,4.70
-123.81,40.47,-1.43,4.03
-122.41,37.53,-1.36,1.83
-119.66,34.98,-4.13,3.28
-117.44,32.99,-0.32,0.70
-96.62,27.33,-2.00,-3.02
-93.19,28.94,-4.85,-0.19
-89.05,29.62,-3.44,-1.19
-85.01,29.18,-4.64,2.07
-81.42,27.41,-2.53,1.49
-80.45,29.48,0.58,-5.65
-78.81,33.87,-3.85,-3.12
-76.68,36.82,-0.42,-2.78
-76.06,37.94,-0.81,0.54
-73.48,39.72,-4.35,-4.09
-70.38,42.97,-1.87,-2.41
-68.56,45.60,-1.75,-2.86
-70.44,46.09,5.49,1.89
-76.22,44.21,6.08,1.86
-81.05,42.94,3.58,0.69
-83.16,43.95,0.65,-2.73
