#
# Word Count First Filename
#
0 1 134 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
10 1 623 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
100 1 306 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
161 1 623 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
195 1 623 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1954 1 13 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1975 1 619 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1986 1 422 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1987 1 623 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1989 1 629 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1990 2 626 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
1991 2 10 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
2 2 10 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
20 2 193 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
264 1 10 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
30 1 35 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
4 1 629 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
40 2 191 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
5 1 134 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
60 3 134 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
64 2 134 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
78 1 10 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
8 1 629 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
82 1 160 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
84 1 214 $DEVISE_DAT/Physiology.txt $DEVISE_DAT/ShowWord.tcl
